section_artist,album_name,album_count,song_list
All,Forever,315,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
All,Spice,250,"Last Time Lover, Love Thing, Mama, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
All,Spiceworld,346,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Baby,Forever,143,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Baby,Spice,233,"2 Become 1, If U Can’t Dance, Last Time Lover, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Baby,Spiceworld,249,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Ginger,Spice,232,"2 Become 1, If U Can’t Dance, Last Time Lover, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Ginger,Spiceworld,245,"Denying, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much"
Posh,Forever,68,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Posh,Spice,106,"2 Become 1, Love Thing, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Posh,Spiceworld,160,"Denying, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Scary,Forever,89,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Scary,Spice,261,"2 Become 1, If U Can’t Dance, Last Time Lover, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Scary,Spiceworld,222,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Sporty,Forever,189,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Sporty,Spice,231,"2 Become 1, If U Can’t Dance, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Sporty,Spiceworld,360,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
