section_artist,album_name,song_list
All,Forever,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
All,Spice,"Last Time Lover, Love Thing, Mama, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
All,Spiceworld,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Baby,Forever,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Baby,Spice,"2 Become 1, If U Can’t Dance, Last Time Lover, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Baby,Spiceworld,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Ginger,Spice,"2 Become 1, If U Can’t Dance, Last Time Lover, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Ginger,Spiceworld,"Denying, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much"
Posh,Forever,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Posh,Spice,"2 Become 1, Love Thing, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Posh,Spiceworld,"Denying, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Scary,Forever,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Scary,Spice,"2 Become 1, If U Can’t Dance, Last Time Lover, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Scary,Spiceworld,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
Sporty,Forever,"Goodbye, Holler, Let Love Lead the Way, Oxygen, Right Back At Ya, Tell Me Why, Time Goes By, Weekend Love"
Sporty,Spice,"2 Become 1, If U Can’t Dance, Love Thing, Mama, Naked, Say You’ll Be There, Something Kinda Funny, Wannabe, Who Do You Think You Are"
Sporty,Spiceworld,"Denying, Do It, Move Over, Never Give Up on the Good Times, Saturday Night Divas, Spice Up Your Life, Stop, The Lady Is a Vamp, Too Much, Viva Forever"
