section_artist,section_name,section_count
All,Bridge,51
All,Chorus,656
All,Intro,18
All,Outro,51
All,Post-Chorus,23
All,Pre-Chorus,76
All,Pre-Chorus 1,8
All,Pre-Chorus 2,8
All,Refrain,8
All,Verse 2,4
All,Verse 3,8
Baby,Bridge,45
Baby,Chorus,207
Baby,Intro,6
Baby,Outro,37
Baby,Pre-Chorus,79
Baby,Pre-Chorus 1,11
Baby,Pre-Chorus 2,7
Baby,Spoken Break,7
Baby,Verse 1,114
Baby,Verse 2,96
Baby,Verse 3,16
Ginger,Bridge,35
Ginger,Chorus,181
Ginger,Intro,14
Ginger,Outro,5
Ginger,Post-Chorus,19
Ginger,Pre-Chorus,65
Ginger,Verse 1,68
Ginger,Verse 2,68
Ginger,Verse 3,22
Posh,Bridge,29
Posh,Chorus,141
Posh,Intro,6
Posh,Outro,13
Posh,Pre-Chorus,38
Posh,Pre-Chorus 1,3
Posh,Pre-Chorus 2,3
Posh,Verse 1,48
Posh,Verse 2,43
Posh,Verse 3,10
Scary,Bridge,51
Scary,Chorus,131
Scary,Intro,11
Scary,Outro,52
Scary,Pre-Chorus,94
Scary,Verse 1,93
Scary,Verse 2,116
Scary,Verse 3,24
Sporty,Bridge,55
Sporty,Chorus,400
Sporty,Intro,13
Sporty,Outro,45
Sporty,Pre-Chorus,88
Sporty,Verse 1,94
Sporty,Verse 2,74
Sporty,Verse 3,11
